time,a_c,a_h,a_l,a_o,b_c,b_h,b_l,b_o,complete,volume
2019-09-19T00:30:00.000000000Z,1.10257,1.10290,1.10255,1.10266,1.10244,1.10275,1.10241,1.10253,True,93
2019-09-19T00:45:00.000000000Z,1.10261,1.10263,1.10235,1.10254,1.10247,1.10250,1.10223,1.10242,True,107
2019-09-19T01:00:00.000000000Z,1.10276,1.10284,1.10251,1.10258,1.10263,1.10271,1.10236,1.10246,True,132
2019-09-19T01:15:00.000000000Z,1.10292,1.10318,1.10278,1.10279,1.10276,1.10305,1.10265,1.10265,True,91
2019-09-19T01:30:00.000000000Z,1.10290,1.10290,1.10266,1.10290,1.10278,1.10278,1.10253,1.10274,True,149
2019-09-19T01:45:00.000000000Z,1.10321,1.10335,1.10258,1.10288,1.10308,1.10324,1.10243,1.10275,True,188
2019-09-19T02:00:00.000000000Z,1.10334,1.10349,1.10312,1.10319,1.10322,1.10336,1.10298,1.10305,True,115
2019-09-19T02:15:00.000000000Z,1.10353,1.10363,1.10327,1.10333,1.10339,1.10349,1.10314,1.10319,True,106
2019-09-19T02:30:00.000000000Z,1.10349,1.10356,1.10343,1.10350,1.10335,1.10343,1.10330,1.10337,True,52
2019-09-19T02:45:00.000000000Z,1.10334,1.10366,1.10317,1.10346,1.10320,1.10352,1.10303,1.10333,True,148
2019-09-19T03:00:00.000000000Z,1.10347,1.10356,1.10331,1.10336,1.10333,1.10342,1.10317,1.10323,True,81
2019-09-19T03:15:00.000000000Z,1.10381,1.10381,1.10347,1.10349,1.10368,1.10369,1.10333,1.10336,True,175
2019-09-19T03:30:00.000000000Z,1.10361,1.10389,1.10355,1.10378,1.10347,1.10375,1.10342,1.10365,True,155
2019-09-19T03:45:00.000000000Z,1.10364,1.10367,1.10351,1.10363,1.10350,1.10354,1.10337,1.10349,True,86
2019-09-19T04:00:00.000000000Z,1.10357,1.10389,1.10354,1.10366,1.10343,1.10375,1.10341,1.10352,True,68
2019-09-19T04:15:00.000000000Z,1.10361,1.10365,1.10352,1.10359,1.10347,1.10353,1.10340,1.10345,True,41
2019-09-19T04:30:00.000000000Z,1.10375,1.10375,1.10355,1.10363,1.10361,1.10361,1.10342,1.10349,True,42
2019-09-19T04:45:00.000000000Z,1.10397,1.10405,1.10375,1.10377,1.10384,1.10391,1.10362,1.10364,True,69
2019-09-19T05:00:00.000000000Z,1.10399,1.10402,1.10385,1.10399,1.10386,1.10388,1.10371,1.10386,True,31
2019-09-19T05:15:00.000000000Z,1.10390,1.10397,1.10373,1.10397,1.10377,1.10383,1.10360,1.10383,True,69
2019-09-19T05:30:00.000000000Z,1.10430,1.10437,1.10390,1.10393,1.10416,1.10423,1.10378,1.10380,True,79
2019-09-19T05:45:00.000000000Z,1.10418,1.10430,1.10414,1.10428,1.10404,1.10417,1.10402,1.10414,True,49
2019-09-19T06:00:00.000000000Z,1.10448,1.10457,1.10412,1.10418,1.10436,1.10442,1.10400,1.10404,True,172
2019-09-19T06:15:00.000000000Z,1.10442,1.10474,1.10422,1.10447,1.10430,1.10461,1.10410,1.10432,True,168
2019-09-19T06:30:00.000000000Z,1.10488,1.10497,1.10437,1.10439,1.10476,1.10484,1.10425,1.10427,True,183
2019-09-19T06:45:00.000000000Z,1.10459,1.10494,1.10412,1.10491,1.10447,1.10484,1.10399,1.10479,True,277
2019-09-19T07:00:00.000000000Z,1.10406,1.10471,1.10357,1.10457,1.10393,1.10458,1.10343,1.10445,True,458
2019-09-19T07:15:00.000000000Z,1.10411,1.10448,1.10374,1.10403,1.10399,1.10435,1.10363,1.10391,True,316
2019-09-19T07:30:00.000000000Z,1.10437,1.10459,1.10386,1.10409,1.10424,1.10447,1.10373,1.10397,True,742
2019-09-19T07:45:00.000000000Z,1.10518,1.10532,1.10434,1.10434,1.10506,1.10519,1.10422,1.10422,True,399
2019-09-19T08:00:00.000000000Z,1.10605,1.10653,1.10520,1.10520,1.10593,1.10641,1.10508,1.10508,True,662
2019-09-19T08:15:00.000000000Z,1.10586,1.10642,1.10573,1.10607,1.10574,1.10630,1.10559,1.10597,True,332
2019-09-19T08:30:00.000000000Z,1.10583,1.10633,1.10574,1.10590,1.10571,1.10620,1.10562,1.10574,True,280
2019-09-19T08:45:00.000000000Z,1.10595,1.10602,1.10562,1.10581,1.10583,1.10590,1.10551,1.10569,True,245
2019-09-19T09:00:00.000000000Z,1.10578,1.10622,1.10574,1.10598,1.10568,1.10610,1.10561,1.10586,True,291
2019-09-19T09:15:00.000000000Z,1.10613,1.10660,1.10574,1.10581,1.10602,1.10647,1.10562,1.10569,True,285
2019-09-19T09:30:00.000000000Z,1.10673,1.10682,1.10594,1.10616,1.10662,1.10670,1.10581,1.10604,True,311
2019-09-19T09:45:00.000000000Z,1.10627,1.10693,1.10622,1.10672,1.10613,1.10680,1.10609,1.10659,True,250
2019-09-19T10:00:00.000000000Z,1.10630,1.10647,1.10605,1.10624,1.10618,1.10634,1.10591,1.10612,True,203
2019-09-19T10:15:00.000000000Z,1.10623,1.10642,1.10566,1.10632,1.10613,1.10630,1.10555,1.10621,True,230
2019-09-19T10:30:00.000000000Z,1.10647,1.10651,1.10618,1.10627,1.10635,1.10638,1.10606,1.10615,True,227
2019-09-19T10:45:00.000000000Z,1.10662,1.10678,1.10640,1.10649,1.10650,1.10668,1.10628,1.10637,True,162
2019-09-19T11:00:00.000000000Z,1.10635,1.10671,1.10612,1.10660,1.10621,1.10658,1.10598,1.10648,True,234
2019-09-19T11:15:00.000000000Z,1.10731,1.10731,1.10631,1.10637,1.10718,1.10718,1.10616,1.10623,True,292
2019-09-19T11:30:00.000000000Z,1.10700,1.10741,1.10694,1.10728,1.10689,1.10729,1.10682,1.10715,True,305
2019-09-19T11:45:00.000000000Z,1.10683,1.10718,1.10672,1.10703,1.10670,1.10705,1.10660,1.10691,True,190
2019-09-19T12:00:00.000000000Z,1.10672,1.10730,1.10667,1.10685,1.10660,1.10716,1.10655,1.10673,True,207
2019-09-19T12:15:00.000000000Z,1.10687,1.10701,1.10660,1.10675,1.10674,1.10689,1.10648,1.10663,True,155
2019-09-19T12:30:00.000000000Z,1.10671,1.10700,1.10618,1.10688,1.10659,1.10678,1.10607,1.10669,True,335
2019-09-19T12:45:00.000000000Z,1.10676,1.10693,1.10659,1.10669,1.10664,1.10682,1.10647,1.10656,True,168
2019-09-19T13:00:00.000000000Z,1.10697,1.10702,1.10652,1.10674,1.10685,1.10690,1.10640,1.10662,True,216
2019-09-19T13:15:00.000000000Z,1.10655,1.10706,1.10650,1.10699,1.10642,1.10695,1.10638,1.10688,True,237
2019-09-19T13:30:00.000000000Z,1.10653,1.10671,1.10613,1.10657,1.10641,1.10659,1.10601,1.10645,True,364
2019-09-19T13:45:00.000000000Z,1.10617,1.10674,1.10603,1.10655,1.10604,1.10661,1.10590,1.10643,True,248
2019-09-19T14:00:00.000000000Z,1.10572,1.10619,1.10552,1.10614,1.10560,1.10606,1.10540,1.10602,True,317
2019-09-19T14:15:00.000000000Z,1.10546,1.10580,1.10526,1.10575,1.10534,1.10568,1.10514,1.10562,True,239
2019-09-19T14:30:00.000000000Z,1.10520,1.10578,1.10512,1.10545,1.10504,1.10566,1.10498,1.10530,True,274
2019-09-19T14:45:00.000000000Z,1.10559,1.10595,1.10506,1.10516,1.10547,1.10581,1.10494,1.10503,True,383
2019-09-19T15:00:00.000000000Z,1.10542,1.10579,1.10531,1.10556,1.10530,1.10567,1.10518,1.10544,True,212
2019-09-19T15:15:00.000000000Z,1.10515,1.10549,1.10511,1.10540,1.10505,1.10538,1.10499,1.10527,True,146
2019-09-19T15:30:00.000000000Z,1.10441,1.10514,1.10435,1.10514,1.10430,1.10502,1.10425,1.10502,True,233
2019-09-19T15:45:00.000000000Z,1.10471,1.10496,1.10446,1.10446,1.10458,1.10484,1.10434,1.10434,True,156
2019-09-19T16:00:00.000000000Z,1.10412,1.10471,1.10410,1.10468,1.10400,1.10458,1.10398,1.10457,True,151
2019-09-19T16:15:00.000000000Z,1.10403,1.10420,1.10393,1.10410,1.10391,1.10404,1.10381,1.10398,True,100
2019-09-19T16:30:00.000000000Z,1.10445,1.10445,1.10404,1.10406,1.10433,1.10433,1.10391,1.10393,True,85
2019-09-19T16:45:00.000000000Z,1.10462,1.10482,1.10440,1.10443,1.10450,1.10468,1.10428,1.10431,True,93
2019-09-19T17:00:00.000000000Z,1.10595,1.10609,1.10462,1.10464,1.10582,1.10596,1.10449,1.10453,True,526
2019-09-19T17:15:00.000000000Z,1.10581,1.10626,1.10564,1.10592,1.10569,1.10612,1.10553,1.10580,True,242
2019-09-19T17:30:00.000000000Z,1.10585,1.10606,1.10555,1.10579,1.10573,1.10591,1.10543,1.10566,True,305
2019-09-19T17:45:00.000000000Z,1.10601,1.10611,1.10568,1.10582,1.10588,1.10599,1.10556,1.10570,True,177
2019-09-19T18:00:00.000000000Z,1.10533,1.10607,1.10532,1.10603,1.10521,1.10596,1.10520,1.10590,True,165
2019-09-19T18:15:00.000000000Z,1.10556,1.10556,1.10509,1.10531,1.10542,1.10544,1.10498,1.10519,True,119
2019-09-19T18:30:00.000000000Z,1.10560,1.10572,1.10553,1.10553,1.10547,1.10557,1.10536,1.10541,True,98
2019-09-19T18:45:00.000000000Z,1.10549,1.10557,1.10535,1.10557,1.10535,1.10545,1.10524,1.10545,True,111
2019-09-19T19:00:00.000000000Z,1.10444,1.10548,1.10442,1.10546,1.10431,1.10536,1.10429,1.10534,True,186
2019-09-19T19:15:00.000000000Z,1.10438,1.10451,1.10414,1.10441,1.10425,1.10439,1.10402,1.10429,True,155
2019-09-19T19:30:00.000000000Z,1.10447,1.10447,1.10407,1.10440,1.10434,1.10434,1.10394,1.10427,True,105
2019-09-19T19:45:00.000000000Z,1.10449,1.10456,1.10440,1.10445,1.10436,1.10444,1.10428,1.10432,True,81
